no,name,date,time1,time2,body
1,GsLEDV1GO,2008-07-19,13:25:43,.38,俺はなんやかんや吉祥寺がいいと思ってるよ
2,zgVDFK7pO,2008-07-19,13:27:53,.39,田舎乙
3,3UXJMAkLo,2008-07-19,13:47:32,.37,国分寺とか調布に比べたら都会だろｗ
4,MgBGJMrsO,2008-07-19,13:59:31,.30,>>3 基準が田舎すぎ
5,ILXOCl3XQ,2008-07-19,14:27:32,.73,でも実際吉祥寺にちょうど良さは感じるところある
6,qPgFyzGFo,2008-07-19,14:32:57,.29,正直分かる
7,aTAKIyfR0,2008-07-19,14:38:22,.16,飯屋あるしでかい商業施設もあるしな
8,aGLPeJx9o,2008-07-19,14:43:47,.31,映画館もある
9,5bCOOsGlO,2008-07-19,14:49:12,.84,新宿のが良くね？
10,msqSeyFG0,2008-07-19,14:54:37,.84,新宿はダメだろ、歌舞伎町とか行きたくねぇもん俺
11,Zb13agAR0,2008-07-19,15:00:02,.27,あの辺りはちょっと空気がな、、
12,ZCSaQR0r0,2008-07-19,15:05:27,.88,住むには最高の街だけど、わざわざ行くかって言われると難しいな
13,tmncr5DxO,2008-07-19,15:10:52,.35,熱海とかどうだろう
14,gbYFy0sH0,2008-07-19,15:16:17,.33,全然違うやつ来たな
15,kxIPF2wCQ,2008-07-19,15:21:42,.54,吉祥寺の100倍田舎でワロタ
16,tWKnNgx10,2008-07-19,15:27:07,.37,でも俺熱海のが住みたいかも
17,dVsiO9GGO,2008-07-19,15:32:32,.46,ワイ熱海住みやがなんもないぞあそこ
18,yttOyomGQ,2008-07-19,15:37:57,.74,それがいいんだよ
19,fdPLvwLdO,2008-07-19,15:43:22,.41,温泉あるじゃん
20,OwCL9uzxQ,2008-07-19,15:48:47,.12,温泉なんていかねぇもん
21,6uoVhd7YQ,2008-07-19,15:54:12,.18,住むって考えるなら吉祥寺よりあり、吉祥寺は家賃高杉
22,vmX781IYO,2008-07-19,15:59:37,.49,そりゃ静岡と東京で比べたらアカンやろ
23,014YXo9GQ,2008-07-19,16:05:02,.40,どこ住んでもいい仕事なら熱海住むかも
24,voE4misv0,2008-07-19,16:10:27,.57,>>23 わかる結局田舎には仕事がねぇんよ
25,lVacDfAAo,2008-07-19,16:15:52,.59,温泉の住み込み行けるやろ
26,OIqjUQhj0,2008-07-19,16:21:17,.24,熱海の温泉なんてほとんど開店休業やぞ
27,7JXSIbDaQ,2008-07-19,16:26:42,.41,"スレの流れぶった切って悪いが、地元自慢させてくれ
岡崎住みやすいぞ"
28,97EBqz0rQ,2008-07-19,16:32:07,.89,どこ？
29,UNmHBF9SQ,2008-07-19,16:37:32,.48,知らねー町の話すんな
30,rMGjfxR2Q,2008-07-19,16:42:57,.28,愛知県なんだけど、電車乗ればすぐに名古屋に行けるし、名古屋より全然静かで穏やかで住みやすいぞ
31,PF5ytsv3Q,2008-07-19,16:48:22,.53,愛知かよ
32,myZtYAf8O,2008-07-19,16:53:47,.58,愛知って名古屋以外あるんだ
33,XbNRCyDK0,2008-07-19,16:59:12,.85,岡崎はともかく愛知が住みやすいのはガチ
34,HZxDINazo,2008-07-19,17:04:37,.86,都会なのに家賃やすいしな
35,HDTdVgKGO,2008-07-19,17:10:02,.47,メーカーめちゃくちゃあるから仕事もあるしな
36,WMVgSsmk0,2008-07-19,17:15:27,.52,工場勤務はちょっと…
,,,,,
213,SVe9pwICQ,2008-07-21,23:33:51,.28,町田ってどう思う
214,p8ONuV1ko,2008-07-21,23:35:34,.87,ラブホしかねーじゃん
215,O2ub79ZzQ,2008-07-21,23:37:31,.11,町田はガチ
216,E6WYEelkO,2008-07-21,23:39:09,.87,正直一番ちょうどいいと思う
217,8m5FMA36O,2008-07-21,23:43:12,.60,ラブホのことしか言わねぇ奴町田行ったことないだろ
218,I2WSAJRb0,2008-07-21,23:47:15,.79,一回行ったら住みやすいのわかると思うぞ
219,KhcLC3EtQ,2008-07-21,23:51:18,.48,このスレは住みやすい町を議論してるの？行きたい町を議論してるの？
220,BWsYODOcQ,2008-07-21,23:55:21,.20,高速道路からしか見たことないわ町田
221,PQbiA9B2Q,2008-07-21,23:59:24,.33,>>219 住みたい町の話かな
222,0hBgmdYJ0,2008-07-21,0:03:27,.22,町田ネガキャンしてるやつはエアプ
223,9xbXZkIRo,2008-07-21,0:07:30,.47,自然が多いぞ
224,qEA1nTALo,2008-07-21,0:11:33,.93,田舎大体そうだろ
225,ZTUAXrWoo,2008-07-21,0:15:36,.79,町田は田舎じゃなくね？
226,iuSDKo0Oo,2008-07-21,0:19:39,.12,地方都市
227,twfQoMAF0,2008-07-21,0:23:42,.38,犯罪が少ないぞ
228,oppdiKpzo,2008-07-21,0:27:45,.35,ラブホまみれなのにそんなわけなくね？
229,tVcNE5LAO,2008-07-21,0:31:48,.12,都心の主要な場所へのアクセスがいい
230,tNgl9xmYo,2008-07-21,0:35:51,.77,アクセスの話するなら23区住めよ
231,OJwXBbUSO,2008-07-21,0:39:54,.29,家賃とのバランスがいいって意味だよ察しろ
232,8OuzDRh0o,2008-07-21,0:43:57,.49,団地が多くて落ち着いてるぞ
233,8VIlwrDVO,2008-07-21,0:48:00,.44,団地の祭りもあるしな
234,SKl0kyLT0,2008-07-21,0:52:03,.50,地元民になんか団結感がる
235,6fKPpTuio,2008-07-21,0:56:06,.28,うまいカレー屋があるんだよな
236,qQEHEhZ1o,2008-07-21,1:00:09,.53,知ってるぞ、アチャーみたいなの名前の店な
237,9D8y1falO,2008-07-21,1:04:12,.27,>>236惜しい
238,dmE9zENf0,2008-07-21,1:08:15,.18,答え教えてくれよ
239,CZILquBho,2008-07-21,1:12:18,.99,やっぱ住むならベッドタウンが一番よ
