id,title,author,summary,youtube,credit,post_title,post_id,published_at,season,備考
IFT_001,いんのこ,"藤本薪, in-facto",とあるYouTuberが撮影した、降霊術「いんのこ」についての記録映像,1NrZCPXxJOI,"原案：in-facto
出演：藤本薪
脚本・演出：トモヒロツジ
撮影・編集：ykpythemind",in-facto始動と「いんのこ」について,beginning_of_in_facto,2022/10/09,1,
IFT_002,土下座,in-facto,土下座（どげざ）とは、土の上に直に坐り、平伏して礼（お辞儀）を行うこと。 (Wikipedia 日本語版より),ntTZe7UHkos,"制作：in-facto
出演：ykpythemind",土下座の撮影とフォーリー録音,dogeza,2022/11/13,1,
IFT_003,Delivery,in-facto,"配達完了: ご注文商品の配達が完了しました。
",RgjRnTFc48E,"制作：in-facto
出演：藤本薪",令和ホラーの作り方,delivery,2022/12/11,1,
IFT_004,天使化,in-facto,とある組織で行われている秘匿された儀式「光天の儀」の記録映像,zRwu7WkgIuc,"制作：in-facto
出演：トモヒロツジ",in-factoとビーフシチュー。メリークリスマス。,tensika,2022/12/25,1,
IFT_004_b,天使化(メッセージ),in-facto,,VggzrKyRaFc,,,,,1,"https://www.youtube.com/watch?v=VggzrKyRaFc
での限定公開。
天使化本編の前日談"
IFT_005,傘,in-facto,子どもがおもちゃにしてしまい、傘を壊してしまいました。大変申し訳ございません。,5Nb8zeOqto4,"制作：in-facto
出演：藤本薪、osd
主題歌：澤田誠也",傘・公共・斬魄刀,kasa,2023/01/29,1,
IFT_006,車中泊,in-facto,この映像はin-factoチームが入手した録画データを編集したものである,4QsMP-pxoEQ,"制作：in-facto
出演：トモヒロツジ、藤本薪",【打ち上げ収録】車中泊,shachuhaku,2023/02/19,1,
IFT_007,似顔絵,in-facto,似顔絵は写真よりも危険である。したがって、より慎重であるべきだ。,6k-ZYxlVqaw,"制作：in-facto
出演：ニシムラタクヤ、ササキ伶菜","撮影は似顔絵よりも危険である。
",nigaoe,2023/03/12,1,
IFT_008,セラピー,in-facto,集団精神療法（グループセラピー）とは、同じトラウマを持つ人が集まり、話し合うことを通じて、問題の改善を図ろうとする精神療法の一種,xGaG2ESRjUw,"制作：in-facto
出演：osd、トモヒロツジ、ykpythemind",誰もが皆それぞれの船を出す,therapy,2023/04/23,1,
IFT_009,　　裏,in-facto,,7jAGfCgqiPY,"制作：in-facto
出演：キムラジン",裏表〜GW大特別編〜,uraomote,2023/05/14,1,
IFT_010,　　表,in-facto,,Ms50bkeE8eg,"制作：in-facto
出演：osd",裏表〜GW大特別編〜,uraomote,2023/05/21,1,
IFT_011,調査報告：L市,"osd, in-facto",壺三部作の1本目,tG2C0kIwRmI,"制作：in-facto
出演：トモヒロツジ、osd、藤本薪、セイヤコバヤシ、小松稜、宮村優輔",,,2023/07/23,1,
IFT_011_b,【予告】調査報告：L市,in-facto,予告編,wRb9yVgz6ws,,,,2023/07/17,1,
IFT_012,健康生活 セラピーV,"藤本薪, in-facto",壺三部作の2本目,mFO1iUDEMXE,"制作：in-facto
出演：喜多原光之、尾形美香",,,2023/08/27,1,
IFT_013,特殊清掃,"トモヒロツジ, in-facto",壺三部作の3本目,jS7VMC6Rr_g,"制作：in-facto
出演：osd、uskey、藤本薪",,,2023/10/16,1,
IFT_014,巡礼,in-facto,,gIZVpTRkR04,制作：in-facto,シーズン2開始と「巡礼」,junrei,2024/02/18,2,
IFT_015,信号,in-facto,,wgb-ua0_YrI,"制作：in-facto
出演：
川瀬知佐子
志波昴星",映像と美術、hentai,movie_and_hentai,2024/03/31,2,
IFT_016,椅子,in-facto,,OuEy4_fVpIc,"制作：in-facto
出演：
管理人　中尾みち雄
サクラ　楠本奈々瀬
ハルキ　橋本隆佑",嫌なカップルと椅子,isu,2024/05/05,2,
IFT_017,トレッキング,in-facto,,VzsT0V4NZWg,"制作：in-facto
出演：
宮前(地主) 日野弘毅
林(登山客) 石倉謙二朗(いっしー)
高岡(登山客) 辻 陸",かつて豚骨があった山の話,trekking,2024/06/09,2,
IFT_018,5movies,in-facto,,TugHBxk1Ks0,"スタッフ：
ほせき かのん
大澤由理
村松和輝
力徳旺
森屋実
トモヒロツジ
ykpythemind
osd",俺たちのファウンドフッテージ,5movies,2024/07/14,2,
IFT_019,海,in-facto,,FUe5V1Q5bHQ,制作：in-facto,むき出しの海,umi,2024/09/15,2,
